Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
55,,2023-02-09,34-133,PHO,@,ATL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,2023-02-10,34-134,PHO,@,IND,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2023-02-14,34-138,PHO,,SAC,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,2023-02-16,34-140,PHO,,LAC,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,,2023-02-24,34-148,PHO,,OKC,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,,2023-02-26,34-150,PHO,@,MIL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,40,2023-03-01,34-153,PHO,@,CHO,W (+14),1,26:50:00,10,15,0.667,2,4,0.5,1,1,1,0,6,6,2,0,2,2,0,23,19.1,13
62,41,2023-03-03,34-155,PHO,@,CHI,W (+21),1,30:54:00,7,10,0.7,2,4,0.5,4,5,0.8,1,8,9,6,1,1,2,2,20,21.6,24
63,42,2023-03-05,34-157,PHO,@,DAL,W (+4),1,40:22:00,12,17,0.706,3,5,0.6,10,11,0.909,0,7,7,3,0,1,2,3,37,31.2,9
64,,2023-03-08,34-160,PHO,,OKC,W (+31),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,,2023-03-11,34-163,PHO,,SAC,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,,2023-03-13,34-165,PHO,@,GSW,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
67,,2023-03-14,34-166,PHO,,MIL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,,2023-03-16,34-168,PHO,,ORL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,,2023-03-19,34-171,PHO,@,OKC,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,,2023-03-22,34-174,PHO,@,LAL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,,2023-03-24,34-176,PHO,@,SAC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,,2023-03-25,34-177,PHO,,PHI,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,,2023-03-27,34-179,PHO,@,UTA,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,43,2023-03-29,34-181,PHO,,MIN,W (+7),1,28:53:00,5,18,0.278,2,4,0.5,4,5,0.8,1,7,8,4,0,0,2,0,16,8.6,-1
75,44,2023-03-31,34-183,PHO,,DEN,W (+7),1,33:11:00,11,15,0.733,2,3,0.667,6,7,0.857,0,4,4,2,1,2,3,0,30,25.5,
76,45,2023-04-02,34-185,PHO,@,OKC,W (+10),1,34:48:00,13,21,0.619,3,7,0.429,6,6,1,0,5,5,5,0,2,2,1,35,29.5,5
77,46,2023-04-04,34-187,PHO,,SAS,W (+21),1,33:36:00,6,14,0.429,2,4,0.5,4,6,0.667,1,4,5,2,0,1,3,1,18,10.4,23
78,47,2023-04-06,34-189,PHO,,DEN,W (+4),1,40:38:00,9,18,0.5,6,10,0.6,5,7,0.714,0,7,7,4,0,1,4,0,29,20.8,-3
79,,2023-04-07,34-190,PHO,@,LAL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,2023-04-09,34-192,PHO,,LAC,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,30-210,BRK,,NOP,L (-22),1,34:10:00,6,19,0.316,0,6,0,3,3,1,0,2,2,5,2,0,2,3,15,7,-18
2,2,2022-10-21,30-212,BRK,,TOR,W (+4),1,40:34:00,11,24,0.458,5,13,0.385,3,3,1,1,0,1,7,0,1,2,4,30,20.3,22
3,3,2022-10-24,30-215,BRK,@,MEM,L (-10),1,38:43:00,14,24,0.583,2,6,0.333,7,8,0.875,2,6,8,5,2,2,3,3,37,31.3,-9
4,4,2022-10-26,30-217,BRK,@,MIL,L (-11),1,38:59:00,9,21,0.429,0,7,0,9,10,0.9,0,9,9,1,1,0,1,4,27,17.3,-9
5,5,2022-10-27,30-218,BRK,,DAL,L (-4),1,42:04:00,14,31,0.452,5,14,0.357,6,6,1,2,5,7,4,3,4,3,3,39,30.2,-3
6,6,2022-10-29,30-220,BRK,,IND,L (-9),1,39:31:00,13,22,0.591,5,12,0.417,4,5,0.8,1,1,2,6,0,0,2,2,35,26.8,0
7,7,2022-10-31,30-222,BRK,,IND,W (+7),1,42:42:00,9,19,0.474,4,11,0.364,6,6,1,0,6,6,6,3,1,3,1,28,24.6,14
8,8,2022-11-01,30-223,BRK,,CHI,L (-9),1,32:46:00,2,12,0.167,0,6,0,0,0,,0,6,6,7,0,1,3,4,4,-0.8,-14
9,,2022-11-04,30-226,BRK,@,WAS,W (+42),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
